Time	Node	Type	Packets	
1	5	CacheHits	0
1	5	CacheMisses	0
2	5	CacheHits	0
2	5	CacheMisses	20
3	5	CacheHits	0
3	5	CacheMisses	20
4	5	CacheHits	0
4	5	CacheMisses	20
5	5	CacheHits	0
5	5	CacheMisses	20
6	5	CacheHits	0
6	5	CacheMisses	19
7	5	CacheHits	0
7	5	CacheMisses	20
8	5	CacheHits	0
8	5	CacheMisses	20
9	5	CacheHits	0
9	5	CacheMisses	20
10	5	CacheHits	0
10	5	CacheMisses	20
11	5	CacheHits	0
11	5	CacheMisses	19
12	5	CacheHits	0
12	5	CacheMisses	20
13	5	CacheHits	0
13	5	CacheMisses	20
14	5	CacheHits	27
14	5	CacheMisses	20
15	5	CacheHits	40
15	5	CacheMisses	20
16	5	CacheHits	40
16	5	CacheMisses	19
17	5	CacheHits	39
17	5	CacheMisses	20
18	5	CacheHits	40
18	5	CacheMisses	20
19	5	CacheHits	40
19	5	CacheMisses	20
20	5	CacheHits	2
20	5	CacheMisses	20
21	5	CacheHits	0
21	5	CacheMisses	38
22	5	CacheHits	0
22	5	CacheMisses	40
23	5	CacheHits	0
23	5	CacheMisses	39
24	5	CacheHits	0
24	5	CacheMisses	40
25	5	CacheHits	0
25	5	CacheMisses	52
26	5	CacheHits	0
26	5	CacheMisses	59
27	5	CacheHits	0
27	5	CacheMisses	59
28	5	CacheHits	0
28	5	CacheMisses	59
29	5	CacheHits	0
29	5	CacheMisses	60
30	5	CacheHits	0
30	5	CacheMisses	60
31	5	CacheHits	0
31	5	CacheMisses	59
32	5	CacheHits	0
32	5	CacheMisses	60
33	5	CacheHits	0
33	5	CacheMisses	59
34	5	CacheHits	0
34	5	CacheMisses	59
35	5	CacheHits	0
35	5	CacheMisses	60
36	5	CacheHits	0
36	5	CacheMisses	60
37	5	CacheHits	0
37	5	CacheMisses	59
38	5	CacheHits	0
38	5	CacheMisses	59
39	5	CacheHits	0
39	5	CacheMisses	59
40	5	CacheHits	0
40	5	CacheMisses	60
41	5	CacheHits	0
41	5	CacheMisses	60
42	5	CacheHits	0
42	5	CacheMisses	59
43	5	CacheHits	0
43	5	CacheMisses	59
44	5	CacheHits	0
44	5	CacheMisses	59
45	5	CacheHits	0
45	5	CacheMisses	60
46	5	CacheHits	0
46	5	CacheMisses	60
47	5	CacheHits	0
47	5	CacheMisses	59
48	5	CacheHits	0
48	5	CacheMisses	59
49	5	CacheHits	0
49	5	CacheMisses	59
50	5	CacheHits	0
50	5	CacheMisses	60
51	5	CacheHits	0
51	5	CacheMisses	63
52	5	CacheHits	0
52	5	CacheMisses	79
53	5	CacheHits	0
53	5	CacheMisses	78
54	5	CacheHits	0
54	5	CacheMisses	91
55	5	CacheHits	0
55	5	CacheMisses	100
56	5	CacheHits	0
56	5	CacheMisses	100
57	5	CacheHits	0
57	5	CacheMisses	98
58	5	CacheHits	0
58	5	CacheMisses	98
59	5	CacheHits	0
59	5	CacheMisses	99
60	5	CacheHits	0
60	5	CacheMisses	85
61	5	CacheHits	0
61	5	CacheMisses	95
62	5	CacheHits	0
62	5	CacheMisses	98
63	5	CacheHits	0
63	5	CacheMisses	98
64	5	CacheHits	0
64	5	CacheMisses	100
65	5	CacheHits	0
65	5	CacheMisses	99
66	5	CacheHits	0
66	5	CacheMisses	100
67	5	CacheHits	0
67	5	CacheMisses	99
68	5	CacheHits	0
68	5	CacheMisses	98
69	5	CacheHits	0
69	5	CacheMisses	99
70	5	CacheHits	0
70	5	CacheMisses	99
71	5	CacheHits	0
71	5	CacheMisses	100
72	5	CacheHits	0
72	5	CacheMisses	99
73	5	CacheHits	0
73	5	CacheMisses	98
74	5	CacheHits	0
74	5	CacheMisses	99
75	5	CacheHits	0
75	5	CacheMisses	99
76	5	CacheHits	0
76	5	CacheMisses	89
77	5	CacheHits	0
77	5	CacheMisses	90
78	5	CacheHits	0
78	5	CacheMisses	98
79	5	CacheHits	0
79	5	CacheMisses	99
80	5	CacheHits	0
80	5	CacheMisses	99
81	5	CacheHits	0
81	5	CacheMisses	100
82	5	CacheHits	0
82	5	CacheMisses	100
83	5	CacheHits	0
83	5	CacheMisses	98
84	5	CacheHits	0
84	5	CacheMisses	85
85	5	CacheHits	28
85	5	CacheMisses	78
86	5	CacheHits	40
86	5	CacheMisses	80
87	5	CacheHits	39
87	5	CacheMisses	80
88	5	CacheHits	40
88	5	CacheMisses	78
89	5	CacheHits	40
89	5	CacheMisses	80
90	5	CacheHits	39
90	5	CacheMisses	78
91	5	CacheHits	40
91	5	CacheMisses	80
92	5	CacheHits	39
92	5	CacheMisses	80
93	5	CacheHits	5
93	5	CacheMisses	78
94	5	CacheHits	0
94	5	CacheMisses	80
95	5	CacheHits	0
95	5	CacheMisses	78
96	5	CacheHits	0
96	5	CacheMisses	80
97	5	CacheHits	0
97	5	CacheMisses	80
98	5	CacheHits	0
98	5	CacheMisses	79
99	5	CacheHits	0
99	5	CacheMisses	79
100	5	CacheHits	0
100	5	CacheMisses	74
101	5	CacheHits	0
101	5	CacheMisses	64
102	5	CacheHits	0
102	5	CacheMisses	80
103	5	CacheHits	0
103	5	CacheMisses	80
104	5	CacheHits	0
104	5	CacheMisses	78
105	5	CacheHits	0
105	5	CacheMisses	79
106	5	CacheHits	0
106	5	CacheMisses	79
107	5	CacheHits	0
107	5	CacheMisses	80
108	5	CacheHits	0
108	5	CacheMisses	80
109	5	CacheHits	0
109	5	CacheMisses	78
110	5	CacheHits	0
110	5	CacheMisses	79
111	5	CacheHits	0
111	5	CacheMisses	79
112	5	CacheHits	0
112	5	CacheMisses	80
113	5	CacheHits	0
113	5	CacheMisses	80
114	5	CacheHits	0
114	5	CacheMisses	78
115	5	CacheHits	0
115	5	CacheMisses	79
116	5	CacheHits	0
116	5	CacheMisses	79
117	5	CacheHits	0
117	5	CacheMisses	80
118	5	CacheHits	0
118	5	CacheMisses	80
119	5	CacheHits	0
119	5	CacheMisses	79
120	5	CacheHits	0
120	5	CacheMisses	92
121	5	CacheHits	0
121	5	CacheMisses	98
122	5	CacheHits	0
122	5	CacheMisses	99
123	5	CacheHits	0
123	5	CacheMisses	100
124	5	CacheHits	0
124	5	CacheMisses	99
125	5	CacheHits	0
125	5	CacheMisses	99
126	5	CacheHits	0
126	5	CacheMisses	98
127	5	CacheHits	0
127	5	CacheMisses	99
128	5	CacheHits	0
128	5	CacheMisses	100
129	5	CacheHits	0
129	5	CacheMisses	86
130	5	CacheHits	0
130	5	CacheMisses	92
131	5	CacheHits	0
131	5	CacheMisses	99
132	5	CacheHits	0
132	5	CacheMisses	98
133	5	CacheHits	0
133	5	CacheMisses	100
134	5	CacheHits	0
134	5	CacheMisses	100
135	5	CacheHits	0
135	5	CacheMisses	98
136	5	CacheHits	0
136	5	CacheMisses	99
137	5	CacheHits	0
137	5	CacheMisses	99
138	5	CacheHits	0
138	5	CacheMisses	99
139	5	CacheHits	0
139	5	CacheMisses	100
140	5	CacheHits	0
140	5	CacheMisses	98
141	5	CacheHits	0
141	5	CacheMisses	99
142	5	CacheHits	0
142	5	CacheMisses	99
143	5	CacheHits	0
143	5	CacheMisses	99
144	5	CacheHits	0
144	5	CacheMisses	100
145	5	CacheHits	0
145	5	CacheMisses	98
146	5	CacheHits	0
146	5	CacheMisses	99
147	5	CacheHits	0
147	5	CacheMisses	99
148	5	CacheHits	0
148	5	CacheMisses	99
149	5	CacheHits	0
149	5	CacheMisses	100
150	5	CacheHits	0
150	5	CacheMisses	91
151	5	CacheHits	0
151	5	CacheMisses	87
152	5	CacheHits	0
152	5	CacheMisses	98
153	5	CacheHits	0
153	5	CacheMisses	99
154	5	CacheHits	0
154	5	CacheMisses	100
155	5	CacheHits	0
155	5	CacheMisses	99
156	5	CacheHits	0
156	5	CacheMisses	99
157	5	CacheHits	0
157	5	CacheMisses	99
158	5	CacheHits	0
158	5	CacheMisses	98
159	5	CacheHits	0
159	5	CacheMisses	100
160	5	CacheHits	0
160	5	CacheMisses	99
161	5	CacheHits	0
161	5	CacheMisses	99
162	5	CacheHits	0
162	5	CacheMisses	99
163	5	CacheHits	0
163	5	CacheMisses	98
164	5	CacheHits	0
164	5	CacheMisses	100
165	5	CacheHits	0
165	5	CacheMisses	99
166	5	CacheHits	0
166	5	CacheMisses	99
167	5	CacheHits	0
167	5	CacheMisses	99
168	5	CacheHits	0
168	5	CacheMisses	98
169	5	CacheHits	0
169	5	CacheMisses	100
170	5	CacheHits	0
170	5	CacheMisses	99
171	5	CacheHits	0
171	5	CacheMisses	100
172	5	CacheHits	0
172	5	CacheMisses	98
173	5	CacheHits	0
173	5	CacheMisses	99
174	5	CacheHits	0
174	5	CacheMisses	99
175	5	CacheHits	0
175	5	CacheMisses	100
176	5	CacheHits	0
176	5	CacheMisses	99
177	5	CacheHits	0
177	5	CacheMisses	98
178	5	CacheHits	0
178	5	CacheMisses	99
179	5	CacheHits	0
179	5	CacheMisses	99
180	5	CacheHits	0
180	5	CacheMisses	100
181	5	CacheHits	0
181	5	CacheMisses	99
182	5	CacheHits	0
182	5	CacheMisses	99
183	5	CacheHits	0
183	5	CacheMisses	98
184	5	CacheHits	0
184	5	CacheMisses	99
185	5	CacheHits	0
185	5	CacheMisses	100
186	5	CacheHits	0
186	5	CacheMisses	99
187	5	CacheHits	0
187	5	CacheMisses	99
188	5	CacheHits	0
188	5	CacheMisses	98
189	5	CacheHits	0
189	5	CacheMisses	99
190	5	CacheHits	0
190	5	CacheMisses	100
191	5	CacheHits	0
191	5	CacheMisses	97
192	5	CacheHits	0
192	5	CacheMisses	81
193	5	CacheHits	0
193	5	CacheMisses	99
194	5	CacheHits	0
194	5	CacheMisses	99
195	5	CacheHits	0
195	5	CacheMisses	99
196	5	CacheHits	0
196	5	CacheMisses	99
197	5	CacheHits	0
197	5	CacheMisses	99
198	5	CacheHits	0
198	5	CacheMisses	99
199	5	CacheHits	0
199	5	CacheMisses	99
200	5	CacheHits	0
200	5	CacheMisses	89
201	5	CacheHits	0
201	5	CacheMisses	89
202	5	CacheHits	0
202	5	CacheMisses	99
203	5	CacheHits	0
203	5	CacheMisses	100
204	5	CacheHits	0
204	5	CacheMisses	98
205	5	CacheHits	0
205	5	CacheMisses	99
206	5	CacheHits	0
206	5	CacheMisses	99
207	5	CacheHits	0
207	5	CacheMisses	99
208	5	CacheHits	0
208	5	CacheMisses	100
209	5	CacheHits	0
209	5	CacheMisses	99
210	5	CacheHits	0
210	5	CacheMisses	98
211	5	CacheHits	0
211	5	CacheMisses	99
212	5	CacheHits	0
212	5	CacheMisses	100
213	5	CacheHits	0
213	5	CacheMisses	99
214	5	CacheHits	0
214	5	CacheMisses	99
215	5	CacheHits	0
215	5	CacheMisses	98
216	5	CacheHits	0
216	5	CacheMisses	100
217	5	CacheHits	0
217	5	CacheMisses	99
218	5	CacheHits	0
218	5	CacheMisses	99
219	5	CacheHits	0
219	5	CacheMisses	99
220	5	CacheHits	0
220	5	CacheMisses	98
221	5	CacheHits	0
221	5	CacheMisses	100
222	5	CacheHits	0
222	5	CacheMisses	99
223	5	CacheHits	0
223	5	CacheMisses	85
224	5	CacheHits	0
224	5	CacheMisses	91
225	5	CacheHits	0
225	5	CacheMisses	81
226	5	CacheHits	0
226	5	CacheMisses	99
227	5	CacheHits	0
227	5	CacheMisses	100
228	5	CacheHits	0
228	5	CacheMisses	99
229	5	CacheHits	0
229	5	CacheMisses	99
230	5	CacheHits	0
230	5	CacheMisses	98
231	5	CacheHits	0
231	5	CacheMisses	99
232	5	CacheHits	0
232	5	CacheMisses	100
233	5	CacheHits	0
233	5	CacheMisses	99
234	5	CacheHits	0
234	5	CacheMisses	99
235	5	CacheHits	0
235	5	CacheMisses	98
236	5	CacheHits	0
236	5	CacheMisses	84
237	5	CacheHits	0
237	5	CacheMisses	95
238	5	CacheHits	0
238	5	CacheMisses	99
239	5	CacheHits	0
239	5	CacheMisses	99
240	5	CacheHits	0
240	5	CacheMisses	99
241	5	CacheHits	0
241	5	CacheMisses	98
242	5	CacheHits	0
242	5	CacheMisses	100
243	5	CacheHits	0
243	5	CacheMisses	99
244	5	CacheHits	0
244	5	CacheMisses	85
245	5	CacheHits	0
245	5	CacheMisses	81
246	5	CacheHits	23
246	5	CacheMisses	79
247	5	CacheHits	40
247	5	CacheMisses	80
248	5	CacheHits	39
248	5	CacheMisses	80
249	5	CacheHits	40
249	5	CacheMisses	79
250	5	CacheHits	40
250	5	CacheMisses	78
251	5	CacheHits	39
251	5	CacheMisses	79
252	5	CacheHits	40
252	5	CacheMisses	80
253	5	CacheHits	39
253	5	CacheMisses	80
254	5	CacheHits	40
254	5	CacheMisses	79
255	5	CacheHits	23
255	5	CacheMisses	78
256	5	CacheHits	0
256	5	CacheMisses	79
257	5	CacheHits	0
257	5	CacheMisses	80
258	5	CacheHits	0
258	5	CacheMisses	80
259	5	CacheHits	0
259	5	CacheMisses	79
260	5	CacheHits	0
260	5	CacheMisses	79
261	5	CacheHits	0
261	5	CacheMisses	78
262	5	CacheHits	0
262	5	CacheMisses	80
263	5	CacheHits	0
263	5	CacheMisses	80
264	5	CacheHits	0
264	5	CacheMisses	79
265	5	CacheHits	0
265	5	CacheMisses	79
266	5	CacheHits	0
266	5	CacheMisses	78
267	5	CacheHits	0
267	5	CacheMisses	80
268	5	CacheHits	0
268	5	CacheMisses	80
269	5	CacheHits	0
269	5	CacheMisses	79
270	5	CacheHits	0
270	5	CacheMisses	79
271	5	CacheHits	0
271	5	CacheMisses	79
272	5	CacheHits	0
272	5	CacheMisses	79
273	5	CacheHits	0
273	5	CacheMisses	80
274	5	CacheHits	0
274	5	CacheMisses	79
275	5	CacheHits	0
275	5	CacheMisses	79
276	5	CacheHits	0
276	5	CacheMisses	79
277	5	CacheHits	0
277	5	CacheMisses	79
278	5	CacheHits	0
278	5	CacheMisses	80
279	5	CacheHits	0
279	5	CacheMisses	79
280	5	CacheHits	0
280	5	CacheMisses	79
281	5	CacheHits	0
281	5	CacheMisses	79
282	5	CacheHits	0
282	5	CacheMisses	79
283	5	CacheHits	0
283	5	CacheMisses	80
284	5	CacheHits	0
284	5	CacheMisses	80
285	5	CacheHits	0
285	5	CacheMisses	79
286	5	CacheHits	0
286	5	CacheMisses	78
287	5	CacheHits	0
287	5	CacheMisses	97
288	5	CacheHits	0
288	5	CacheMisses	92
289	5	CacheHits	0
289	5	CacheMisses	87
290	5	CacheHits	0
290	5	CacheMisses	99
291	5	CacheHits	0
291	5	CacheMisses	98
292	5	CacheHits	0
292	5	CacheMisses	80
293	5	CacheHits	0
293	5	CacheMisses	98
294	5	CacheHits	0
294	5	CacheMisses	100
295	5	CacheHits	0
295	5	CacheMisses	99
296	5	CacheHits	0
296	5	CacheMisses	99
297	5	CacheHits	0
297	5	CacheMisses	99
298	5	CacheHits	0
298	5	CacheMisses	98
299	5	CacheHits	0
299	5	CacheMisses	100
300	5	CacheHits	0
300	5	CacheMisses	99
301	5	CacheHits	0
301	5	CacheMisses	99
302	5	CacheHits	0
302	5	CacheMisses	99
303	5	CacheHits	0
303	5	CacheMisses	98
304	5	CacheHits	0
304	5	CacheMisses	86
305	5	CacheHits	28
305	5	CacheMisses	79
306	5	CacheHits	39
306	5	CacheMisses	79
307	5	CacheHits	40
307	5	CacheMisses	80
308	5	CacheHits	40
308	5	CacheMisses	79
309	5	CacheHits	39
309	5	CacheMisses	75
310	5	CacheHits	45
310	5	CacheMisses	61
311	5	CacheHits	39
311	5	CacheMisses	60
312	5	CacheHits	40
312	5	CacheMisses	79
313	5	CacheHits	40
313	5	CacheMisses	78
314	5	CacheHits	39
314	5	CacheMisses	80
315	5	CacheHits	40
315	5	CacheMisses	79
316	5	CacheHits	21
316	5	CacheMisses	89
317	5	CacheHits	0
317	5	CacheMisses	99
318	5	CacheHits	0
318	5	CacheMisses	98
319	5	CacheHits	0
319	5	CacheMisses	100
320	5	CacheHits	0
320	5	CacheMisses	99
321	5	CacheHits	0
321	5	CacheMisses	99
322	5	CacheHits	0
322	5	CacheMisses	99
323	5	CacheHits	0
323	5	CacheMisses	98
324	5	CacheHits	0
324	5	CacheMisses	100
325	5	CacheHits	0
325	5	CacheMisses	99
326	5	CacheHits	0
326	5	CacheMisses	99
327	5	CacheHits	0
327	5	CacheMisses	99
328	5	CacheHits	0
328	5	CacheMisses	99
329	5	CacheHits	0
329	5	CacheMisses	81
330	5	CacheHits	0
330	5	CacheMisses	97
331	5	CacheHits	0
331	5	CacheMisses	99
332	5	CacheHits	0
332	5	CacheMisses	99
333	5	CacheHits	0
333	5	CacheMisses	100
334	5	CacheHits	0
334	5	CacheMisses	98
335	5	CacheHits	0
335	5	CacheMisses	99
336	5	CacheHits	0
336	5	CacheMisses	100
337	5	CacheHits	0
337	5	CacheMisses	98
338	5	CacheHits	0
338	5	CacheMisses	100
339	5	CacheHits	0
339	5	CacheMisses	98
340	5	CacheHits	0
340	5	CacheMisses	100
341	5	CacheHits	0
341	5	CacheMisses	99
342	5	CacheHits	0
342	5	CacheMisses	98
343	5	CacheHits	0
343	5	CacheMisses	100
344	5	CacheHits	0
344	5	CacheMisses	99
345	5	CacheHits	0
345	5	CacheMisses	99
346	5	CacheHits	0
346	5	CacheMisses	99
347	5	CacheHits	0
347	5	CacheMisses	98
348	5	CacheHits	0
348	5	CacheMisses	100
349	5	CacheHits	0
349	5	CacheMisses	99
350	5	CacheHits	0
350	5	CacheMisses	99
351	5	CacheHits	0
351	5	CacheMisses	99
352	5	CacheHits	0
352	5	CacheMisses	99
353	5	CacheHits	0
