Time	Node	Type	Packets	
1	5	CacheHits	0
1	5	CacheMisses	0
2	5	CacheHits	0
2	5	CacheMisses	23
3	5	CacheHits	0
3	5	CacheMisses	23
4	5	CacheHits	0
4	5	CacheMisses	23
5	5	CacheHits	0
5	5	CacheMisses	23
6	5	CacheHits	0
6	5	CacheMisses	23
7	5	CacheHits	0
7	5	CacheMisses	22
8	5	CacheHits	0
8	5	CacheMisses	23
9	5	CacheHits	0
9	5	CacheMisses	23
10	5	CacheHits	0
10	5	CacheMisses	23
11	5	CacheHits	0
11	5	CacheMisses	23
12	5	CacheHits	0
12	5	CacheMisses	23
13	5	CacheHits	0
13	5	CacheMisses	22
14	5	CacheHits	0
14	5	CacheMisses	23
15	5	CacheHits	0
15	5	CacheMisses	23
16	5	CacheHits	0
16	5	CacheMisses	23
17	5	CacheHits	0
17	5	CacheMisses	23
18	5	CacheHits	0
18	5	CacheMisses	23
19	5	CacheHits	0
19	5	CacheMisses	23
20	5	CacheHits	0
20	5	CacheMisses	22
21	5	CacheHits	0
21	5	CacheMisses	23
22	5	CacheHits	0
22	5	CacheMisses	23
23	5	CacheHits	0
23	5	CacheMisses	23
24	5	CacheHits	0
24	5	CacheMisses	23
25	5	CacheHits	0
25	5	CacheMisses	23
26	5	CacheHits	0
26	5	CacheMisses	23
27	5	CacheHits	0
27	5	CacheMisses	22
28	5	CacheHits	0
28	5	CacheMisses	23
29	5	CacheHits	0
29	5	CacheMisses	23
30	5	CacheHits	0
30	5	CacheMisses	23
31	5	CacheHits	0
31	5	CacheMisses	23
32	5	CacheHits	0
32	5	CacheMisses	23
33	5	CacheHits	3
33	5	CacheMisses	23
34	5	CacheHits	46
34	5	CacheMisses	22
35	5	CacheHits	45
35	5	CacheMisses	23
36	5	CacheHits	46
36	5	CacheMisses	23
37	5	CacheHits	46
37	5	CacheMisses	23
38	5	CacheHits	45
38	5	CacheMisses	23
39	5	CacheHits	46
39	5	CacheMisses	23
40	5	CacheHits	46
40	5	CacheMisses	22
41	5	CacheHits	45
41	5	CacheMisses	23
42	5	CacheHits	46
42	5	CacheMisses	23
43	5	CacheHits	46
43	5	CacheMisses	23
44	5	CacheHits	46
44	5	CacheMisses	23
45	5	CacheHits	45
45	5	CacheMisses	23
46	5	CacheHits	46
46	5	CacheMisses	23
47	5	CacheHits	46
47	5	CacheMisses	22
48	5	CacheHits	45
48	5	CacheMisses	23
49	5	CacheHits	30
49	5	CacheMisses	23
50	5	CacheHits	0
50	5	CacheMisses	31
51	5	CacheHits	0
51	5	CacheMisses	46
52	5	CacheHits	0
52	5	CacheMisses	46
53	5	CacheHits	0
53	5	CacheMisses	46
54	5	CacheHits	0
54	5	CacheMisses	45
55	5	CacheHits	0
55	5	CacheMisses	46
56	5	CacheHits	0
56	5	CacheMisses	45
57	5	CacheHits	0
57	5	CacheMisses	46
58	5	CacheHits	0
58	5	CacheMisses	46
59	5	CacheHits	0
59	5	CacheMisses	46
60	5	CacheHits	0
60	5	CacheMisses	45
61	5	CacheHits	0
61	5	CacheMisses	46
62	5	CacheHits	0
62	5	CacheMisses	46
63	5	CacheHits	0
63	5	CacheMisses	45
64	5	CacheHits	0
64	5	CacheMisses	62
65	5	CacheHits	0
65	5	CacheMisses	69
66	5	CacheHits	0
66	5	CacheMisses	69
67	5	CacheHits	0
67	5	CacheMisses	68
68	5	CacheHits	0
68	5	CacheMisses	68
69	5	CacheHits	0
69	5	CacheMisses	68
70	5	CacheHits	0
70	5	CacheMisses	69
71	5	CacheHits	0
71	5	CacheMisses	69
72	5	CacheHits	0
72	5	CacheMisses	69
73	5	CacheHits	0
73	5	CacheMisses	69
74	5	CacheHits	0
74	5	CacheMisses	68
75	5	CacheHits	0
75	5	CacheMisses	68
76	5	CacheHits	0
76	5	CacheMisses	68
77	5	CacheHits	0
77	5	CacheMisses	69
78	5	CacheHits	0
78	5	CacheMisses	69
79	5	CacheHits	0
79	5	CacheMisses	69
80	5	CacheHits	0
80	5	CacheMisses	68
81	5	CacheHits	0
81	5	CacheMisses	69
82	5	CacheHits	0
82	5	CacheMisses	68
83	5	CacheHits	0
83	5	CacheMisses	68
84	5	CacheHits	0
84	5	CacheMisses	69
85	5	CacheHits	0
85	5	CacheMisses	69
86	5	CacheHits	0
86	5	CacheMisses	69
87	5	CacheHits	0
87	5	CacheMisses	68
88	5	CacheHits	0
88	5	CacheMisses	68
89	5	CacheHits	0
89	5	CacheMisses	68
90	5	CacheHits	0
90	5	CacheMisses	69
91	5	CacheHits	0
91	5	CacheMisses	69
92	5	CacheHits	0
92	5	CacheMisses	69
93	5	CacheHits	0
93	5	CacheMisses	69
94	5	CacheHits	0
94	5	CacheMisses	68
95	5	CacheHits	0
95	5	CacheMisses	68
96	5	CacheHits	0
96	5	CacheMisses	68
97	5	CacheHits	0
97	5	CacheMisses	69
98	5	CacheHits	0
98	5	CacheMisses	69
99	5	CacheHits	0
99	5	CacheMisses	69
100	5	CacheHits	0
100	5	CacheMisses	68
101	5	CacheHits	0
101	5	CacheMisses	69
102	5	CacheHits	0
102	5	CacheMisses	68
103	5	CacheHits	0
103	5	CacheMisses	68
104	5	CacheHits	0
104	5	CacheMisses	69
105	5	CacheHits	0
105	5	CacheMisses	69
106	5	CacheHits	0
106	5	CacheMisses	69
107	5	CacheHits	0
107	5	CacheMisses	68
108	5	CacheHits	0
108	5	CacheMisses	68
109	5	CacheHits	0
109	5	CacheMisses	69
110	5	CacheHits	0
110	5	CacheMisses	68
111	5	CacheHits	0
111	5	CacheMisses	69
112	5	CacheHits	0
112	5	CacheMisses	69
113	5	CacheHits	0
113	5	CacheMisses	69
114	5	CacheHits	0
114	5	CacheMisses	68
115	5	CacheHits	0
115	5	CacheMisses	68
116	5	CacheHits	0
116	5	CacheMisses	68
117	5	CacheHits	0
117	5	CacheMisses	69
118	5	CacheHits	0
118	5	CacheMisses	69
119	5	CacheHits	0
119	5	CacheMisses	69
120	5	CacheHits	0
120	5	CacheMisses	68
121	5	CacheHits	0
121	5	CacheMisses	69
122	5	CacheHits	0
122	5	CacheMisses	68
123	5	CacheHits	0
123	5	CacheMisses	68
124	5	CacheHits	0
124	5	CacheMisses	69
125	5	CacheHits	0
125	5	CacheMisses	69
126	5	CacheHits	0
126	5	CacheMisses	69
127	5	CacheHits	0
127	5	CacheMisses	68
128	5	CacheHits	0
128	5	CacheMisses	68
129	5	CacheHits	0
129	5	CacheMisses	69
130	5	CacheHits	0
130	5	CacheMisses	68
131	5	CacheHits	0
131	5	CacheMisses	69
132	5	CacheHits	0
132	5	CacheMisses	69
133	5	CacheHits	0
133	5	CacheMisses	69
134	5	CacheHits	0
134	5	CacheMisses	68
135	5	CacheHits	0
135	5	CacheMisses	68
136	5	CacheHits	0
136	5	CacheMisses	68
137	5	CacheHits	0
137	5	CacheMisses	89
138	5	CacheHits	0
138	5	CacheMisses	92
139	5	CacheHits	0
139	5	CacheMisses	92
140	5	CacheHits	0
140	5	CacheMisses	91
141	5	CacheHits	0
141	5	CacheMisses	91
142	5	CacheHits	0
142	5	CacheMisses	91
143	5	CacheHits	0
143	5	CacheMisses	92
144	5	CacheHits	0
144	5	CacheMisses	115
145	5	CacheHits	0
145	5	CacheMisses	115
146	5	CacheHits	0
146	5	CacheMisses	115
147	5	CacheHits	0
147	5	CacheMisses	114
148	5	CacheHits	0
148	5	CacheMisses	112
149	5	CacheHits	0
149	5	CacheMisses	115
150	5	CacheHits	0
150	5	CacheMisses	114
151	5	CacheHits	0
151	5	CacheMisses	115
152	5	CacheHits	0
152	5	CacheMisses	115
153	5	CacheHits	0
153	5	CacheMisses	115
154	5	CacheHits	0
154	5	CacheMisses	114
155	5	CacheHits	0
155	5	CacheMisses	112
156	5	CacheHits	0
156	5	CacheMisses	114
157	5	CacheHits	0
157	5	CacheMisses	115
158	5	CacheHits	0
158	5	CacheMisses	115
159	5	CacheHits	0
159	5	CacheMisses	115
160	5	CacheHits	0
160	5	CacheMisses	115
161	5	CacheHits	0
161	5	CacheMisses	108
162	5	CacheHits	0
162	5	CacheMisses	95
163	5	CacheHits	0
163	5	CacheMisses	114
164	5	CacheHits	0
164	5	CacheMisses	115
165	5	CacheHits	0
165	5	CacheMisses	115
166	5	CacheHits	0
166	5	CacheMisses	115
167	5	CacheHits	0
167	5	CacheMisses	115
168	5	CacheHits	0
168	5	CacheMisses	111
169	5	CacheHits	0
169	5	CacheMisses	115
170	5	CacheHits	0
170	5	CacheMisses	114
171	5	CacheHits	0
171	5	CacheMisses	115
172	5	CacheHits	0
172	5	CacheMisses	115
173	5	CacheHits	0
173	5	CacheMisses	115
174	5	CacheHits	0
174	5	CacheMisses	114
175	5	CacheHits	0
175	5	CacheMisses	112
176	5	CacheHits	0
176	5	CacheMisses	114
177	5	CacheHits	0
177	5	CacheMisses	115
178	5	CacheHits	0
178	5	CacheMisses	115
179	5	CacheHits	0
179	5	CacheMisses	115
180	5	CacheHits	0
180	5	CacheMisses	115
181	5	CacheHits	0
181	5	CacheMisses	113
182	5	CacheHits	0
182	5	CacheMisses	113
183	5	CacheHits	0
183	5	CacheMisses	114
184	5	CacheHits	0
184	5	CacheMisses	115
185	5	CacheHits	0
185	5	CacheMisses	115
186	5	CacheHits	0
186	5	CacheMisses	115
187	5	CacheHits	0
187	5	CacheMisses	115
188	5	CacheHits	0
188	5	CacheMisses	112
189	5	CacheHits	0
189	5	CacheMisses	114
190	5	CacheHits	0
190	5	CacheMisses	114
191	5	CacheHits	0
191	5	CacheMisses	115
192	5	CacheHits	0
192	5	CacheMisses	115
193	5	CacheHits	0
193	5	CacheMisses	115
194	5	CacheHits	0
194	5	CacheMisses	114
195	5	CacheHits	0
195	5	CacheMisses	112
196	5	CacheHits	0
196	5	CacheMisses	114
197	5	CacheHits	0
197	5	CacheMisses	115
198	5	CacheHits	0
198	5	CacheMisses	115
199	5	CacheHits	0
199	5	CacheMisses	115
200	5	CacheHits	0
200	5	CacheMisses	115
201	5	CacheHits	0
201	5	CacheMisses	113
202	5	CacheHits	0
202	5	CacheMisses	113
203	5	CacheHits	0
203	5	CacheMisses	114
204	5	CacheHits	0
204	5	CacheMisses	98
205	5	CacheHits	0
205	5	CacheMisses	109
206	5	CacheHits	0
206	5	CacheMisses	115
207	5	CacheHits	0
207	5	CacheMisses	115
208	5	CacheHits	0
208	5	CacheMisses	112
209	5	CacheHits	0
209	5	CacheMisses	114
210	5	CacheHits	0
210	5	CacheMisses	114
211	5	CacheHits	0
211	5	CacheMisses	115
212	5	CacheHits	0
212	5	CacheMisses	115
213	5	CacheHits	0
213	5	CacheMisses	115
214	5	CacheHits	0
214	5	CacheMisses	114
215	5	CacheHits	0
215	5	CacheMisses	113
216	5	CacheHits	0
216	5	CacheMisses	113
217	5	CacheHits	0
217	5	CacheMisses	115
218	5	CacheHits	0
218	5	CacheMisses	115
219	5	CacheHits	0
219	5	CacheMisses	115
220	5	CacheHits	0
220	5	CacheMisses	115
221	5	CacheHits	0
221	5	CacheMisses	113
222	5	CacheHits	0
222	5	CacheMisses	114
223	5	CacheHits	0
223	5	CacheMisses	113
224	5	CacheHits	0
224	5	CacheMisses	115
225	5	CacheHits	0
225	5	CacheMisses	113
226	5	CacheHits	3
226	5	CacheMisses	92
227	5	CacheHits	46
227	5	CacheMisses	92
228	5	CacheHits	46
228	5	CacheMisses	90
229	5	CacheHits	45
229	5	CacheMisses	91
230	5	CacheHits	46
230	5	CacheMisses	91
231	5	CacheHits	46
231	5	CacheMisses	92
232	5	CacheHits	45
232	5	CacheMisses	92
233	5	CacheHits	46
233	5	CacheMisses	92
234	5	CacheHits	46
234	5	CacheMisses	91
235	5	CacheHits	46
235	5	CacheMisses	91
236	5	CacheHits	45
236	5	CacheMisses	90
237	5	CacheHits	46
237	5	CacheMisses	92
238	5	CacheHits	46
238	5	CacheMisses	92
239	5	CacheHits	45
239	5	CacheMisses	92
240	5	CacheHits	46
240	5	CacheMisses	92
241	5	CacheHits	46
241	5	CacheMisses	91
242	5	CacheHits	46
242	5	CacheMisses	91
243	5	CacheHits	45
243	5	CacheMisses	90
244	5	CacheHits	46
244	5	CacheMisses	92
245	5	CacheHits	46
245	5	CacheMisses	92
246	5	CacheHits	45
246	5	CacheMisses	92
247	5	CacheHits	46
247	5	CacheMisses	92
248	5	CacheHits	27
248	5	CacheMisses	90
249	5	CacheHits	0
249	5	CacheMisses	91
250	5	CacheHits	0
250	5	CacheMisses	91
251	5	CacheHits	0
251	5	CacheMisses	92
252	5	CacheHits	0
252	5	CacheMisses	92
253	5	CacheHits	0
253	5	CacheMisses	92
254	5	CacheHits	0
254	5	CacheMisses	91
255	5	CacheHits	0
255	5	CacheMisses	91
256	5	CacheHits	0
256	5	CacheMisses	90
257	5	CacheHits	0
257	5	CacheMisses	92
258	5	CacheHits	0
258	5	CacheMisses	92
259	5	CacheHits	0
259	5	CacheMisses	92
260	5	CacheHits	0
260	5	CacheMisses	92
261	5	CacheHits	0
261	5	CacheMisses	91
262	5	CacheHits	0
262	5	CacheMisses	91
263	5	CacheHits	0
263	5	CacheMisses	90
264	5	CacheHits	0
264	5	CacheMisses	92
265	5	CacheHits	0
265	5	CacheMisses	92
266	5	CacheHits	0
266	5	CacheMisses	92
267	5	CacheHits	0
267	5	CacheMisses	92
268	5	CacheHits	0
268	5	CacheMisses	90
269	5	CacheHits	0
269	5	CacheMisses	92
270	5	CacheHits	0
270	5	CacheMisses	90
271	5	CacheHits	0
271	5	CacheMisses	75
272	5	CacheHits	0
272	5	CacheMisses	86
273	5	CacheHits	0
273	5	CacheMisses	92
274	5	CacheHits	0
274	5	CacheMisses	92
275	5	CacheHits	0
275	5	CacheMisses	91
276	5	CacheHits	0
276	5	CacheMisses	89
277	5	CacheHits	0
277	5	CacheMisses	92
278	5	CacheHits	0
278	5	CacheMisses	92
279	5	CacheHits	0
279	5	CacheMisses	92
280	5	CacheHits	0
280	5	CacheMisses	92
281	5	CacheHits	0
281	5	CacheMisses	92
282	5	CacheHits	0
282	5	CacheMisses	90
283	5	CacheHits	0
283	5	CacheMisses	90
284	5	CacheHits	0
284	5	CacheMisses	92
285	5	CacheHits	0
285	5	CacheMisses	92
286	5	CacheHits	0
286	5	CacheMisses	92
287	5	CacheHits	0
287	5	CacheMisses	92
288	5	CacheHits	0
288	5	CacheMisses	91
289	5	CacheHits	0
289	5	CacheMisses	90
290	5	CacheHits	0
290	5	CacheMisses	91
291	5	CacheHits	0
291	5	CacheMisses	92
292	5	CacheHits	0
292	5	CacheMisses	92
293	5	CacheHits	0
293	5	CacheMisses	92
294	5	CacheHits	0
294	5	CacheMisses	92
295	5	CacheHits	0
295	5	CacheMisses	91
296	5	CacheHits	0
296	5	CacheMisses	89
297	5	CacheHits	0
297	5	CacheMisses	92
298	5	CacheHits	0
298	5	CacheMisses	92
299	5	CacheHits	0
299	5	CacheMisses	92
300	5	CacheHits	0
300	5	CacheMisses	92
301	5	CacheHits	0
301	5	CacheMisses	92
302	5	CacheHits	0
302	5	CacheMisses	90
303	5	CacheHits	0
303	5	CacheMisses	90
304	5	CacheHits	0
304	5	CacheMisses	92
305	5	CacheHits	0
305	5	CacheMisses	92
306	5	CacheHits	0
306	5	CacheMisses	92
307	5	CacheHits	0
307	5	CacheMisses	92
308	5	CacheHits	0
308	5	CacheMisses	91
309	5	CacheHits	0
309	5	CacheMisses	89
310	5	CacheHits	0
310	5	CacheMisses	92
311	5	CacheHits	0
311	5	CacheMisses	92
312	5	CacheHits	0
312	5	CacheMisses	92
313	5	CacheHits	0
313	5	CacheMisses	92
314	5	CacheHits	0
314	5	CacheMisses	92
315	5	CacheHits	0
315	5	CacheMisses	91
316	5	CacheHits	0
316	5	CacheMisses	89
317	5	CacheHits	0
317	5	CacheMisses	92
318	5	CacheHits	0
318	5	CacheMisses	92
319	5	CacheHits	0
319	5	CacheMisses	92
320	5	CacheHits	0
320	5	CacheMisses	92
321	5	CacheHits	0
321	5	CacheMisses	114
322	5	CacheHits	0
322	5	CacheMisses	112
323	5	CacheHits	0
323	5	CacheMisses	114
324	5	CacheHits	0
324	5	CacheMisses	114
325	5	CacheHits	0
325	5	CacheMisses	115
326	5	CacheHits	0
326	5	CacheMisses	115
327	5	CacheHits	0
327	5	CacheMisses	115
328	5	CacheHits	0
328	5	CacheMisses	114
329	5	CacheHits	0
329	5	CacheMisses	112
330	5	CacheHits	0
330	5	CacheMisses	114
331	5	CacheHits	0
331	5	CacheMisses	115
332	5	CacheHits	0
332	5	CacheMisses	115
333	5	CacheHits	0
333	5	CacheMisses	115
334	5	CacheHits	0
334	5	CacheMisses	115
335	5	CacheHits	0
335	5	CacheMisses	113
336	5	CacheHits	0
336	5	CacheMisses	113
337	5	CacheHits	0
337	5	CacheMisses	114
338	5	CacheHits	0
338	5	CacheMisses	115
339	5	CacheHits	0
339	5	CacheMisses	115
340	5	CacheHits	0
340	5	CacheMisses	115
341	5	CacheHits	0
341	5	CacheMisses	115
342	5	CacheHits	0
342	5	CacheMisses	111
343	5	CacheHits	0
343	5	CacheMisses	115
344	5	CacheHits	0
344	5	CacheMisses	114
345	5	CacheHits	0
345	5	CacheMisses	115
346	5	CacheHits	0
346	5	CacheMisses	115
347	5	CacheHits	0
347	5	CacheMisses	111
348	5	CacheHits	0
348	5	CacheMisses	95
349	5	CacheHits	0
349	5	CacheMisses	113
350	5	CacheHits	0
350	5	CacheMisses	113
351	5	CacheHits	0
351	5	CacheMisses	115
352	5	CacheHits	0
352	5	CacheMisses	115
353	5	CacheHits	0
